date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:41	245242/245242	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2018:20:40%20GMT	http://192.168.1.108/	./192.168.1.108/index.html	(from )
18:20:46	5842/5842	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2018:20:43%20GMT	https://gmpg.org/xfn/11	./gmpg.org/xfn/11.html	(from http://192.168.1.108/)
18:21:33	675/675	---MC-	200	added ('OK')	text/css	date:Sun,%2022%20Jun%202025%2018:21:31%20GMT	https://fonts.googleapis.com/css2?family=Orbitron:wght@400;700&family=Roboto+Mono&display=swap	./fonts.googleapis.com/css29e6a.css	(from http://192.168.1.108/)
18:21:40	214426/214426	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2018:21:37%20GMT	http://192.168.1.108/elementor-page-31/	./192.168.1.108/elementor-page-31/index.html	(from http://192.168.1.108/)
18:21:40	221482/221482	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2018:21:37%20GMT	http://192.168.1.108/privacy-policy/	./192.168.1.108/privacy-policy/index.html	(from http://192.168.1.108/)
18:21:55	221143/221143	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2018:21:37%20GMT	http://192.168.1.108/terms-conditions/	./192.168.1.108/terms-conditions/index.html	(from http://192.168.1.108/)
18:21:56	238485/238485	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2018:21:37%20GMT	http://192.168.1.108/threat-hunting-in-the-cloud-roactive-defense-strategies/	./192.168.1.108/threat-hunting-in-the-cloud-roactive-defense-strategies/index.html	(from http://192.168.1.108/)
18:21:59	16269/16269	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2018:21:57%20GMT	https://gmpg.org/xfn/intro	./gmpg.org/xfn/intro.html	(from https://gmpg.org/xfn/11)
18:22:01	236957/236957	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2018:21:59%20GMT	http://192.168.1.108/cpu-friendly-crypto-mining/	./192.168.1.108/cpu-friendly-crypto-mining/index.html	(from http://192.168.1.108/)
18:22:01	237670/237670	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202025%2018:21:59%20GMT	http://192.168.1.108/next-gen-cybersecurity/	./192.168.1.108/next-gen-cybersecurity/index.html	(from http://192.168.1.108/)
